orderId,productid,customerid,orderdate,returnstatusid,late,sales,orderquantity,unitprice,profit,shippingcost
43076,250,773,2010-06-16,0,NotLate,3636.37,33,113.98,-176.91,30.0
50567,1084,773,2012-02-05,0,NotLate,1505.67,22,70.98,-436.23,30.0
32102,1055,773,2012-12-14,0,Late,19.81,2,6.48,-10.39,6.22
44546,224,773,2010-03-24,0,NotLate,55.2,15,3.58,4.26,1.63
32613,213,932,2011-12-16,0,Late,7174.9435,41,195.99,2373.24,3.99
46597,69,932,2009-12-31,0,Late,130.36,10,12.95,2.43,4.98
38305,192,932,2011-04-30,0,Late,2561.6705,21,155.99,88.77,8.08
46597,1114,932,2009-12-31,0,Late,200.57,1,122.99,-83.63,70.2
51008,166,932,2011-08-20,0,Late,269.66,20,12.88,-59.13,4.59
46597,895,932,2009-12-31,0,NotLate,8216.593,47,195.99,2463.46,8.99
32613,970,932,2011-12-16,0,Late,1359.74,31,43.98,202.33,8.99
32613,66,932,2011-12-16,0,Late,5228.2,38,135.31,-691.52,35.0
12194,213,1349,2011-03-01,0,NotLate,3355.154,19,195.99,658.5,3.99
52197,234,1349,2012-08-04,0,NotLate,91.94,23,3.95,-10.11,2.0
19748,1141,1349,2010-08-04,0,NotLate,124.65,6,18.97,13.34,5.21
28867,1197,1349,2011-07-22,0,Late,2169.7525,26,95.99,374.75,8.99
28867,829,1349,2011-07-22,0,NotLate,866.73,43,20.97,-199.98,6.5
59776,671,1349,2009-03-09,1,Late,285.01,35,7.64,124.82,1.39
28037,292,1349,2009-12-12,1,NotLate,203.53,31,6.68,-101.28,6.93
52197,748,1349,2012-08-04,0,Late,377.03,6,64.98,-78.82,6.88
43110,427,1349,2011-02-06,0,Late,3457.99,1,3499.99,-11861.46,24.49
43110,444,1349,2011-02-06,0,NotLate,21.01,3,4.98,-9.69,5.02
42979,526,1349,2011-05-01,0,Late,2770.79,29,90.98,109.39,30.0
4583,1084,1349,2009-09-24,0,Late,3021.64,44,70.98,-720.2,30.0
59776,902,1349,2009-03-09,1,Late,12215.43,33,400.97,5255.45,48.26
28867,225,1349,2011-07-22,0,NotLate,642.42,6,104.85,80.01,19.99
7782,994,1349,2009-07-02,0,Late,1205.73,20,60.97,310.93,4.5
3012,976,1349,2010-05-04,0,Late,120.03,41,2.78,10.5,1.49
515,932,11,2010-08-28,0,Late,394.27,19,21.78,30.94,5.94
515,521,11,2010-08-28,0,Late,146.69,21,6.64,4.43,4.95
1412,424,11,2010-03-12,0,Late,59.03,13,3.69,26.92,0.5
1412,662,11,2010-03-12,0,Late,97.48,21,4.71,-5.77,0.7
1792,1054,11,2010-11-08,0,Late,370.48,28,13.48,-5.45,4.51
868,932,5,2012-06-08,0,NotLate,716.84,32,21.78,134.72,5.94
868,194,5,2012-06-08,0,Late,1474.33,31,47.98,114.46,3.61
23844,932,321,2009-07-06,0,Late,937.62,42,21.78,187.2,5.94
9057,890,321,2009-11-04,0,NotLate,160.29,20,7.59,1.35,4.0
23844,309,321,2009-07-06,0,NotLate,33.02,11,3.15,8.4,0.5
23844,915,321,2009-07-06,0,Late,1861.36,40,42.98,627.85,4.62
6912,932,823,2011-12-10,0,Late,294.52,14,21.78,15.34,5.94
23522,1156,823,2011-04-11,0,Late,233.38,36,6.48,-180.17,8.73
23522,453,823,2011-04-11,0,NotLate,2899.98,19,159.99,666.01,5.5
23522,576,823,2011-04-11,0,Late,1077.8085,20,65.99,17.25,8.99
45476,932,1435,2012-04-18,0,NotLate,1055.98,48,21.78,204.58,5.94
5509,586,1435,2009-04-07,0,Late,885.23,21,40.89,78.98,18.98
35840,867,1435,2010-05-29,0,Late,3492.6585,49,85.99,1181.81,0.99
5509,1094,1435,2009-04-07,0,Late,68.46,11,5.58,-22.48,5.3
36931,861,1435,2011-01-19,0,NotLate,180.56,46,4.28,-15.79,1.6
36069,938,1435,2009-12-05,0,Late,102.61,20,4.98,-92.01,7.44
35840,564,1435,2010-05-29,0,NotLate,173.08,36,4.91,81.63,0.5
36069,473,1435,2009-12-05,0,Late,453.09,13,35.94,107.74,6.66
36069,336,1435,2009-12-05,0,Late,2758.22,15,170.98,966.81,13.99
7077,932,1769,2011-12-21,0,Late,304.52,14,21.78,25.34,5.94
7431,936,1769,2009-05-01,0,NotLate,78.81,33,2.23,-93.25,4.57
8902,939,1769,2011-06-19,0,Late,180.46,27,6.48,-57.62,5.94
15106,521,91,2011-01-27,1,Late,283.58,42,6.64,-14.23,4.95
15106,1103,91,2011-01-27,1,NotLate,5403.37,39,145.45,948.79,17.85
15106,698,91,2011-01-27,1,Late,82.15,35,2.21,-6.33,1.12
17283,1051,91,2011-09-14,0,NotLate,5472.12,4,1360.14,-2816.34,14.7
51971,959,91,2011-10-03,0,Late,1326.04,39,32.48,-1129.96,35.0
51971,459,91,2011-10-03,0,Late,3881.89,22,182.55,-803.52,69.0
37287,521,712,2012-11-01,0,Late,122.41,18,6.64,2.37,4.95
38851,404,712,2012-06-10,0,NotLate,8.49,1,3.74,-5.74,4.69
38721,521,649,2009-03-24,0,Late,107.56,17,6.64,-25.0,54.95
39393,535,649,2010-11-17,0,Late,218.29,23,9.49,-32.43,5.76
33699,1192,649,2009-07-26,0,Late,196.81,31,6.45,70.39,1.34
38721,796,649,2009-03-24,0,NotLate,1386.69,15,90.48,363.0,19.99
33699,1216,649,2009-07-26,0,Late,290.07,18,16.74,-114.2,7.04
34022,521,910,2012-11-03,0,Late,43.9,6,6.64,12.74,4.95
39173,1089,910,2009-01-16,0,Late,373.27,2,179.29,-433.29,29.21
32326,702,910,2010-10-31,0,NotLate,929.81,50,19.99,-188.41,11.17
39173,152,910,2009-01-16,0,Late,76.48,36,2.18,3.23,0.78
14401,551,910,2011-08-04,0,Late,931.1495,10,110.99,-128.83,2.5
8293,1241,910,2012-08-10,1,Late,1497.7595,50,35.99,483.66,1.1
34022,138,910,2012-11-03,0,NotLate,236.28,50,4.91,-34.06,3.05
6854,521,1219,2009-01-06,0,Late,129.84,19,6.64,2.39,4.95
51876,789,1219,2012-03-06,1,NotLate,95.0555,2,55.99,-298.17,5.0
49479,1225,1219,2011-07-27,0,Late,5615.4,46,120.97,1807.16,26.3
10530,551,1219,2009-01-27,0,Late,377.213,4,110.99,-411.65,2.5
19718,477,1219,2012-06-24,1,Late,89.75,6,13.99,-38.29,7.51
6854,888,1219,2009-01-06,0,Late,22.13,1,7.68,-2.39,6.16
6753,521,1466,2010-09-26,0,Late,53.14,7,6.64,14.57,4.95
417,461,1466,2009-02-05,0,NotLate,15260.78,39,500.98,8734.88,28.14
11236,958,1466,2010-10-30,0,NotLate,298.57,45,6.88,74.07,2.0
11236,900,1466,2010-10-30,0,NotLate,44.32,15,2.52,-41.55,4.28
417,707,1466,2009-02-05,0,Late,540.41,3,178.47,-170.98,19.99
47872,521,1663,2009-06-12,0,NotLate,345.58,50,6.64,-38.04,4.95
59971,580,1663,2011-05-31,0,Late,514.86,45,12.28,-10.84,6.47
47872,1119,1663,2009-06-12,0,Late,1756.27,38,46.89,649.05,5.1
59971,745,1663,2011-05-31,0,Late,437.77,26,15.98,-125.8,8.99
47910,707,1663,2009-08-15,1,NotLate,5290.57,30,178.47,1389.18,19.99
59971,581,1663,2011-05-31,0,Late,356.27,12,30.98,84.53,5.09
34597,462,1663,2010-12-16,0,Late,849.337,8,125.99,-258.85,2.5
613,978,2,2011-06-17,0,NotLate,93.54,12,7.3,-54.04,7.72
613,534,2,2011-06-17,0,NotLate,905.08,22,42.76,127.7,6.22
6980,978,33,2010-02-18,0,NotLate,136.29,18,7.3,-77.28,7.72
58789,978,426,2010-08-05,0,Late,195.51,26,7.3,-105.72,7.72
33889,409,426,2010-11-06,0,Late,116.14,39,2.88,50.44,0.5
32067,1155,426,2012-03-12,0,NotLate,2853.8835,27,125.99,492.24,7.69
57538,178,426,2010-02-20,0,Late,1370.49,40,33.98,-244.63,19.99
58789,512,426,2010-08-05,0,Late,377.13,38,9.77,-10.29,6.02
59909,583,426,2012-08-05,0,Late,1255.48,11,115.99,-292.65,56.14
33889,1230,426,2010-11-06,0,Late,9046.33,46,180.98,1398.03,55.24
33889,773,426,2010-11-06,0,Late,159.05,27,5.98,21.46,2.5
50373,979,426,2009-07-02,0,NotLate,1455.04,9,161.55,-7.58,19.99
59909,64,426,2012-08-05,0,Late,411.56,46,9.38,-188.02,7.28
33889,1001,426,2010-11-06,0,Late,367.96,43,8.67,-16.11,3.5
42022,978,541,2009-09-24,0,NotLate,338.85,45,7.3,-170.18,7.72
42022,234,541,2009-09-24,0,NotLate,43.25,11,3.95,-9.68,2.0
41221,616,541,2009-09-12,0,NotLate,345.57,4,80.98,-218.77,35.0
9665,1023,541,2009-04-23,0,Late,2657.12,19,140.98,-373.09,36.09
9665,1119,541,2009-04-23,0,NotLate,2348.66,50,46.89,921.41,5.1
58853,1212,541,2012-05-13,0,NotLate,5307.5,27,200.98,1116.67,23.76
52999,890,541,2012-04-25,0,Late,43.61,5,7.59,22.85,4.0
52999,911,541,2012-04-25,0,NotLate,44.63,7,5.78,-21.19,5.67
38726,184,541,2009-05-21,0,Late,92.86,44,2.08,-11.28,1.49
9665,723,541,2009-04-23,0,Late,9579.62,49,212.6,-3465.07,110.2
52999,752,541,2012-04-25,0,Late,343.05,39,9.11,98.86,2.15
26818,978,956,2012-01-08,0,NotLate,251.34,36,7.3,-162.2,7.72
56931,1035,956,2010-02-03,1,Late,232.4155,34,7.99,-110.59,5.03
26818,681,956,2012-01-08,0,Late,78.39,5,11.97,-5.16,4.98
26818,1077,956,2012-01-08,0,NotLate,202.84,23,8.85,-19.48,5.6
57061,1238,956,2009-11-30,0,Late,470.79,21,22.38,-80.11,15.1
57061,1091,956,2009-11-30,0,NotLate,36.56,6,6.3,6.22,0.5
36065,569,956,2010-02-17,0,NotLate,538.3,31,16.98,-63.98,12.39
57061,504,956,2009-11-30,0,Late,55.17,3,17.78,46.84,5.03
58496,277,956,2011-06-11,0,Late,137.97,20,6.48,-123.94,10.05
58628,749,956,2009-03-24,0,NotLate,2527.792,23,138.75,-335.32,52.42
48774,205,956,2012-08-09,0,Late,7323.78,31,243.98,573.55,62.94
26948,978,1261,2011-11-22,0,NotLate,273.89,38,7.3,-160.4,7.72
43138,573,1261,2012-03-14,1,Late,1334.05,43,30.56,581.77,2.99
37825,681,1261,2009-07-22,0,Late,505.01,44,11.97,-43.52,4.98
48135,646,1261,2009-04-19,0,NotLate,750.14,40,17.67,93.68,8.99
37825,169,1261,2009-07-22,0,Late,286.75,41,6.98,98.44,1.6
43138,170,1261,2012-03-14,1,Late,6552.86,50,137.48,-692.82,32.18
18855,978,1556,2009-09-15,0,Late,229.43,31,7.3,-127.05,7.72
31524,805,1556,2011-06-26,0,Late,1025.88,10,100.89,-211.33,42.0
1411,349,1556,2009-12-20,0,Late,6717.9325,47,175.99,1717.89,4.99
16992,1001,1556,2010-12-12,0,NotLate,126.74,15,8.67,-18.53,3.5
28357,978,1721,2010-05-21,0,NotLate,390.46,50,7.3,-171.17,7.72
28357,758,1721,2010-05-21,0,NotLate,113.43,43,2.47,24.27,1.02
53573,928,1721,2009-03-15,0,Late,93.73,6,14.2,51.14,5.3
40678,766,1721,2010-04-28,0,Late,2753.07,42,67.28,551.34,19.99
32355,761,1721,2009-05-20,0,Late,211.86,34,5.94,-239.32,9.92
32355,762,1721,2009-05-20,0,Late,355.03,50,6.48,-33.31,5.11
12902,754,1721,2010-10-29,0,Late,3645.45,30,120.98,-765.5,56.7
24705,978,1791,2011-09-15,0,Late,260.51,34,7.3,-127.52,7.72
3172,927,1791,2012-06-02,0,Late,584.511,33,20.99,-95.98,3.3
24705,971,1791,2011-09-15,0,Late,466.28,15,29.89,92.7,1.99
5860,931,1791,2012-02-19,0,Late,56.73,12,4.84,8.33,0.71
14018,952,1791,2010-06-06,0,NotLate,160.68,30,4.98,77.75,0.49
59297,1031,1791,2009-12-09,0,Late,1582.47,13,119.99,-205.02,56.14
28544,976,1791,2012-08-28,1,NotLate,68.5,24,2.78,2.69,1.49
30403,978,1778,2012-07-10,1,Late,305.01,41,7.3,-160.82,7.72
9573,943,1778,2012-06-13,0,NotLate,146.25,21,6.35,60.12,1.02
10663,945,1778,2009-05-23,0,NotLate,104.39,40,2.61,38.45,0.5
25063,973,1778,2009-06-29,0,NotLate,711.875,24,35.99,217.33,3.3
18688,1146,1778,2011-03-05,0,Late,40.34,15,2.89,10.59,0.5
40357,1002,1778,2012-07-21,0,NotLate,240.49,4,56.96,-53.9,13.22
30403,979,1778,2012-07-10,1,NotLate,3583.52,24,161.55,221.71,19.99
38438,998,1778,2011-05-31,0,NotLate,121.09,17,6.68,-30.51,5.66
38438,997,1778,2011-05-31,0,Late,621.93,16,39.98,-49.77,4.0
18688,962,1778,2011-03-05,0,Late,14346.73,49,304.99,5762.52,19.99
18688,963,1778,2011-03-05,0,NotLate,3951.6755,41,125.99,812.24,4.2
23746,1066,1778,2010-12-15,0,NotLate,408.23,10,40.97,52.38,1.99
46307,534,525,2011-02-06,0,Late,1217.77,27,42.76,283.14,6.22
41312,990,525,2012-01-31,0,NotLate,787.63,21,39.48,140.22,1.99
46307,640,525,2011-02-06,0,NotLate,643.53,32,19.98,175.97,5.77
24710,938,525,2010-09-30,0,Late,22.06,3,4.98,-15.6,7.44
54694,42,525,2009-09-19,0,NotLate,112.63,43,2.66,-201.6,6.35
18723,914,525,2009-08-12,0,Late,52.0965,1,55.99,-232.8,2.5
44322,534,1041,2011-10-12,0,Late,600.8,15,42.76,43.55,6.22
44867,801,1041,2009-07-26,0,Late,21425.91,40,500.98,7360.43,26.0
26305,1112,1041,2010-12-02,0,NotLate,3503.56,13,262.11,-633.44,62.74
43360,364,1041,2009-10-13,0,Late,112.16,48,2.08,-178.29,5.33
31522,1247,1041,2010-05-25,0,Late,1083.37,42,25.98,-226.41,14.36
6502,741,1041,2011-08-20,1,NotLate,116.11,16,7.64,-36.46,5.83
999,756,1041,2010-09-04,0,Late,583.64,6,95.43,-179.5,19.99
26305,1238,1041,2010-12-02,0,Late,1118.21,50,22.38,-122.79,15.1
11975,1223,1041,2011-04-13,0,Late,210.66,43,5.18,-145.72,5.74
5697,518,1041,2012-10-04,0,Late,371.68,31,11.29,-13.32,5.03
31522,175,1041,2010-05-25,0,Late,302.4,14,22.23,134.21,3.63
6502,86,1041,2011-08-20,1,Late,306.92,30,9.99,13.46,5.12
44738,291,1041,2010-12-05,0,Late,75.57,34,2.1,6.87,0.7
40321,534,1379,2010-06-23,0,NotLate,740.49,18,42.76,88.9,6.22
7171,1000,1379,2011-02-13,0,Late,303.1865,17,20.99,92.59,0.99
