productid,customerid,orderdate,sales,customer_name,product_name
5,40,23-8-2008,400.0,Bon app',Northwoods Cranberry Sauce
5,44,25-6-2009,1200.0,Königlich Essen,Northwoods Cranberry Sauce
5,46,20-5-2009,800.0,Island Trading,Northwoods Cranberry Sauce
5,62,4-9-2008,960.0,Lehmanns Marktstand,Northwoods Cranberry Sauce
5,67,11-3-2008,2240.0,QUICK-Stop,Northwoods Cranberry Sauce
5,69,8-3-2008,2240.0,White Clover Markets,Northwoods Cranberry Sauce
5,75,10-9-2009,80.0,Rattlesnake Canyon Grocery,Northwoods Cranberry Sauce
6,13,8-8-2008,72.0,Laughing Bacchus Wine Cellars,Tunnbröd
6,16,8-7-2008,151.2,Consolidated Holdings,Tunnbröd
6,21,9-5-2009,162.0,LINO-Delicateses,Tunnbröd
6,32,11-6-2009,450.0,Seven Seas Imports,Tunnbröd
6,40,16-7-2008,108.0,Bon app',Tunnbröd
6,43,27-3-2009,396.0,Save-a-lot Markets,Tunnbröd
6,46,23-1-2009,45.0,Island Trading,Tunnbröd
6,46,10-12-2008,90.0,Island Trading,Tunnbröd
6,53,14-3-2008,180.0,Die Wandernde Kuh,Tunnbröd
6,60,25-9-2008,630.0,LILA-Supermercado,Tunnbröd
6,61,14-8-2009,90.0,Romero y tomillo,Tunnbröd
6,67,28-5-2009,630.0,QUICK-Stop,Tunnbröd
6,71,21-1-2009,288.0,Frankenversand,Tunnbröd
6,71,3-5-2008,288.0,Frankenversand,Tunnbröd
6,71,29-2-2008,288.0,Frankenversand,Tunnbröd
6,74,17-6-2009,270.0,Folk och fä HB,Tunnbröd
6,75,10-9-2009,18.0,Rattlesnake Canyon Grocery,Tunnbröd
6,76,4-10-2008,180.0,Ottilies Käseladen,Tunnbröd
6,79,9-5-2008,432.0,Ernst Handel,Tunnbröd
6,81,14-7-2009,72.0,Wellington Importadora,Tunnbröd
7,9,9-1-2009,57.0,Great Lakes Food Market,Zaanse koeken
7,12,22-7-2009,133.0,Blauer See Delikatessen,Zaanse koeken
7,17,3-2-2009,142.5,Gourmet Lanchonetes,Zaanse koeken
7,18,24-2-2009,47.5,Franchi SpA,Zaanse koeken
7,20,25-7-2008,228.0,Folies gourmandes,Zaanse koeken
7,22,6-6-2008,228.0,Bottom-Dollar Markets,Zaanse koeken
7,27,10-7-2009,47.5,Galería del gastrónomo,Zaanse koeken
7,33,9-10-2008,237.5,Around the Horn,Zaanse koeken
7,36,26-8-2008,57.0,Familia Arquibaldo,Zaanse koeken
7,39,22-2-2008,121.6,Mère Paillarde,Zaanse koeken
7,40,2-4-2009,285.0,Bon app',Zaanse koeken
7,43,26-2-2009,475.0,Save-a-lot Markets,Zaanse koeken
7,43,9-1-2009,95.0,Save-a-lot Markets,Zaanse koeken
7,63,13-6-2009,199.5,Berglunds snabbköp,Zaanse koeken
7,63,23-5-2009,380.0,Berglunds snabbköp,Zaanse koeken
7,64,13-2-2009,114.0,Morgenstern Gesundkost,Zaanse koeken
7,67,24-5-2008,418.0,QUICK-Stop,Zaanse koeken
7,74,31-7-2009,285.0,Folk och fä HB,Zaanse koeken
7,74,8-4-2009,285.0,Folk och fä HB,Zaanse koeken
7,76,31-1-2009,380.0,Ottilies Käseladen,Zaanse koeken
7,81,5-11-2008,142.5,Wellington Importadora,Zaanse koeken
8,0,29-7-2009,156.15,La corne d'abondance,Gumbär Gummibärchen
8,8,12-8-2009,187.38,Maison Dewey,Gumbär Gummibärchen
8,15,24-6-2008,149.4,Rancho grande,Gumbär Gummibärchen
8,18,29-5-2008,49.8,Franchi SpA,Gumbär Gummibärchen
8,26,11-6-2009,624.6,Queen Cozinha,Gumbär Gummibärchen
8,26,31-7-2008,747.0,Queen Cozinha,Gumbär Gummibärchen
8,29,27-1-2009,936.9,Antonio Moreno Taquería,Gumbär Gummibärchen
8,30,16-5-2009,374.76,Drachenblut Delikatessen,Gumbär Gummibärchen
8,31,20-8-2009,374.76,Eastern Connection,Gumbär Gummibärchen
8,34,4-2-2009,468.45,Piccolo und mehr,Gumbär Gummibärchen
8,43,26-2-2009,936.9,Save-a-lot Markets,Gumbär Gummibärchen
8,43,1-5-2008,1743.0,Save-a-lot Markets,Gumbär Gummibärchen
8,44,30-5-2009,562.14,Königlich Essen,Gumbär Gummibärchen
8,44,13-5-2009,1249.2,Königlich Essen,Gumbär Gummibärchen
8,60,26-3-2008,398.4,LILA-Supermercado,Gumbär Gummibärchen
8,60,21-2-2008,1245.0,LILA-Supermercado,Gumbär Gummibärchen
8,62,12-11-2008,156.15,Lehmanns Marktstand,Gumbär Gummibärchen
8,63,4-6-2009,1093.05,Berglunds snabbköp,Gumbär Gummibärchen
8,63,19-6-2008,373.5,Berglunds snabbköp,Gumbär Gummibärchen
8,66,10-5-2008,747.0,Magazzini Alimentari Riuniti,Gumbär Gummibärchen
8,67,19-8-2009,1967.49,QUICK-Stop,Gumbär Gummibärchen
8,67,23-9-2008,1249.2,QUICK-Stop,Gumbär Gummibärchen
8,68,7-6-2008,249.0,Split Rail Beer & Ale,Gumbär Gummibärchen
8,69,6-3-2009,468.45,White Clover Markets,Gumbär Gummibärchen
8,71,29-2-2008,597.6,Frankenversand,Gumbär Gummibärchen
8,77,6-11-2008,187.38,Que Delícia,Gumbär Gummibärchen
8,77,28-5-2008,747.0,Que Delícia,Gumbär Gummibärchen
8,79,20-12-2008,1093.05,Ernst Handel,Gumbär Gummibärchen
8,80,1-5-2009,655.83,HILARIÓN-Abastos,Gumbär Gummibärchen
8,82,4-4-2009,624.6,Richter Supermarkt,Gumbär Gummibärchen
8,82,31-3-2009,374.76,Richter Supermarkt,Gumbär Gummibärchen
8,84,3-7-2008,747.0,Suprêmes délices,Gumbär Gummibärchen
9,1,25-7-2009,1317.5,Spécialités du monde,Côte de Blaye
9,9,13-5-2009,7905.0,Great Lakes Food Market,Côte de Blaye
9,9,5-12-2008,3952.5,Great Lakes Food Market,Côte de Blaye
9,15,20-5-2009,527.0,Rancho grande,Côte de Blaye
9,23,21-5-2009,2108.0,Santé Gourmet,Côte de Blaye
9,26,10-4-2008,8432.0,Queen Cozinha,Côte de Blaye
9,34,20-3-2008,10540.0,Piccolo und mehr,Côte de Blaye
9,37,23-5-2008,10540.0,Simons bistro,Côte de Blaye
9,39,30-5-2008,10329.2,Mère Paillarde,Côte de Blaye
9,44,13-5-2009,7905.0,Königlich Essen,Côte de Blaye
9,47,6-5-2009,2635.0,The Big Cheese,Côte de Blaye
9,63,22-1-2009,3952.5,Berglunds snabbköp,Côte de Blaye
9,65,30-8-2008,3952.5,Tortuga Restaurante,Côte de Blaye
9,67,9-6-2009,15810.0,QUICK-Stop,Côte de Blaye
9,67,23-9-2008,7905.0,QUICK-Stop,Côte de Blaye
9,68,20-2-2008,4216.0,Split Rail Beer & Ale,Côte de Blaye
9,69,22-8-2009,6587.5,White Clover Markets,Côte de Blaye
9,73,29-3-2008,2108.0,Blondel père et fils,Côte de Blaye
9,75,23-6-2009,10540.0,Rattlesnake Canyon Grocery,Côte de Blaye
9,75,24-7-2008,6324.0,Rattlesnake Canyon Grocery,Côte de Blaye
9,79,18-3-2008,4216.0,Ernst Handel,Côte de Blaye
9,85,1-8-2009,15810.0,Hanari Carnes,Côte de Blaye
9,85,24-4-2009,1317.5,Hanari Carnes,Côte de Blaye
9,85,23-9-2008,1054.0,Hanari Carnes,Côte de Blaye
10,8,7-4-2009,168.0,Maison Dewey,NuNuCa Nuß-Nougat-Creme
10,13,8-5-2009,70.0,Laughing Bacchus Wine Cellars,NuNuCa Nuß-Nougat-Creme
10,21,7-7-2009,336.0,LINO-Delicateses,NuNuCa Nuß-Nougat-Creme
10,21,26-5-2009,84.0,LINO-Delicateses,NuNuCa Nuß-Nougat-Creme
10,22,6-8-2008,672.0,Bottom-Dollar Markets,NuNuCa Nuß-Nougat-Creme
10,27,20-6-2009,70.0,Galería del gastrónomo,NuNuCa Nuß-Nougat-Creme
10,35,21-5-2009,140.0,La maison d'Asie,NuNuCa Nuß-Nougat-Creme
10,36,13-3-2008,112.0,Familia Arquibaldo,NuNuCa Nuß-Nougat-Creme
10,40,1-4-2008,560.0,Bon app',NuNuCa Nuß-Nougat-Creme
10,43,1-5-2008,78.4,Save-a-lot Markets,NuNuCa Nuß-Nougat-Creme
10,44,20-8-2008,252.0,Königlich Essen,NuNuCa Nuß-Nougat-Creme
10,44,12-2-2008,44.8,Königlich Essen,NuNuCa Nuß-Nougat-Creme
10,59,2-6-2009,140.0,Ricardo Adocicados,NuNuCa Nuß-Nougat-Creme
10,66,11-7-2008,134.4,Magazzini Alimentari Riuniti,NuNuCa Nuß-Nougat-Creme
10,75,8-4-2009,490.0,Rattlesnake Canyon Grocery,NuNuCa Nuß-Nougat-Creme
10,80,2-9-2009,210.0,HILARIÓN-Abastos,NuNuCa Nuß-Nougat-Creme
10,81,6-5-2009,210.0,Wellington Importadora,NuNuCa Nuß-Nougat-Creme
10,86,30-5-2009,280.0,Victuailles en stock,NuNuCa Nuß-Nougat-Creme
11,0,10-7-2009,35.0,La corne d'abondance,Filo Mix
11,4,11-8-2009,70.0,The Cracker Box,Filo Mix
11,11,29-8-2008,42.0,North/South,Filo Mix
11,13,10-12-2008,35.0,Laughing Bacchus Wine Cellars,Filo Mix
11,26,24-7-2009,42.0,Queen Cozinha,Filo Mix
11,28,14-4-2009,105.0,Vaffeljernet,Filo Mix
11,32,25-4-2008,112.0,Seven Seas Imports,Filo Mix
11,33,30-4-2009,56.0,Around the Horn,Filo Mix
11,33,9-10-2008,210.0,Around the Horn,Filo Mix
11,36,7-3-2009,28.0,Familia Arquibaldo,Filo Mix
11,42,29-7-2009,280.0,Bólido Comidas preparadas,Filo Mix
11,45,9-2-2008,112.0,Pericles Comidas clásicas,Filo Mix
11,48,31-1-2009,63.0,Du monde entier,Filo Mix
11,51,13-11-2008,168.0,Old World Delicatessen,Filo Mix
11,58,3-7-2009,98.0,Reggiani Caseifici,Filo Mix
11,58,6-11-2008,28.0,Reggiani Caseifici,Filo Mix
11,59,15-10-2008,490.0,Ricardo Adocicados,Filo Mix
11,60,8-8-2009,140.0,LILA-Supermercado,Filo Mix
11,62,6-6-2009,56.0,Lehmanns Marktstand,Filo Mix
11,63,14-3-2009,175.0,Berglunds snabbköp,Filo Mix
11,73,25-6-2008,112.0,Blondel père et fils,Filo Mix
11,75,10-9-2009,14.0,Rattlesnake Canyon Grocery,Filo Mix
11,81,8-5-2009,140.0,Wellington Importadora,Filo Mix
11,82,4-4-2009,420.0,Richter Supermarkt,Filo Mix
11,84,26-8-2009,14.0,Suprêmes délices,Filo Mix
11,85,9-7-2009,84.0,Hanari Carnes,Filo Mix
11,86,26-2-2008,44.8,Victuailles en stock,Filo Mix
11,87,21-6-2008,84.0,Toms Spezialitäten,Filo Mix
11,88,19-3-2009,126.0,Vins et alcools Chevalier,Filo Mix
12,3,14-8-2009,530.0,Alfreds Futterkiste,Escargots de Bourgogne
12,21,12-2-2009,397.5,LINO-Delicateses,Escargots de Bourgogne
12,25,11-4-2008,159.0,Wolski  Zajazd,Escargots de Bourgogne
12,26,3-7-2009,198.75,Queen Cozinha,Escargots de Bourgogne
12,43,26-2-2009,159.0,Save-a-lot Markets,Escargots de Bourgogne
12,51,13-11-2008,397.5,Old World Delicatessen,Escargots de Bourgogne
12,54,14-1-2009,649.25,Hungry Owl All-Night Grocers,Escargots de Bourgogne
12,54,11-4-2008,848.0,Hungry Owl All-Night Grocers,Escargots de Bourgogne
12,55,26-5-2009,397.5,Tradição Hipermercados,Escargots de Bourgogne
12,67,28-5-2009,795.0,QUICK-Stop,Escargots de Bourgogne
12,69,1-7-2009,198.75,White Clover Markets,Escargots de Bourgogne
12,71,24-1-2009,397.5,Frankenversand,Escargots de Bourgogne
12,72,24-12-2008,79.5,Wartian Herkku,Escargots de Bourgogne
12,74,16-2-2008,318.0,Folk och fä HB,Escargots de Bourgogne
12,75,31-1-2008,318.0,Rattlesnake Canyon Grocery,Escargots de Bourgogne
12,80,9-6-2009,159.0,HILARIÓN-Abastos,Escargots de Bourgogne
12,82,18-9-2008,265.0,Richter Supermarkt,Escargots de Bourgogne
12,84,11-7-2009,397.5,Suprêmes délices,Escargots de Bourgogne
13,26,3-7-2009,660.0,Queen Cozinha,Chef Anton's Cajun Seasoning
13,26,18-2-2009,132.0,Queen Cozinha,Chef Anton's Cajun Seasoning
13,31,10-3-2009,550.0,Eastern Connection,Chef Anton's Cajun Seasoning
13,38,28-2-2008,316.8,Princesa Isabel Vinhos,Chef Anton's Cajun Seasoning
13,39,4-3-2008,176.0,Mère Paillarde,Chef Anton's Cajun Seasoning
13,40,23-8-2008,1100.0,Bon app',Chef Anton's Cajun Seasoning
13,41,9-7-2008,281.6,Furia Bacalhau e Frutos do Mar,Chef Anton's Cajun Seasoning
13,42,15-2-2008,422.4,Bólido Comidas preparadas,Chef Anton's Cajun Seasoning
13,54,25-1-2008,352.0,Hungry Owl All-Night Grocers,Chef Anton's Cajun Seasoning
13,55,26-11-2008,440.0,Tradição Hipermercados,Chef Anton's Cajun Seasoning
13,63,7-1-2009,264.0,Berglunds snabbköp,Chef Anton's Cajun Seasoning
13,66,21-7-2009,110.0,Magazzini Alimentari Riuniti,Chef Anton's Cajun Seasoning
13,66,23-12-2008,220.0,Magazzini Alimentari Riuniti,Chef Anton's Cajun Seasoning
13,67,9-9-2008,1100.0,QUICK-Stop,Chef Anton's Cajun Seasoning
13,69,8-3-2008,616.0,White Clover Markets,Chef Anton's Cajun Seasoning
13,72,24-12-2008,550.0,Wartian Herkku,Chef Anton's Cajun Seasoning
13,74,16-9-2008,1100.0,Folk och fä HB,Chef Anton's Cajun Seasoning
13,75,10-9-2009,22.0,Rattlesnake Canyon Grocery,Chef Anton's Cajun Seasoning
13,75,11-8-2009,550.0,Rattlesnake Canyon Grocery,Chef Anton's Cajun Seasoning
13,84,29-5-2009,462.0,Suprêmes délices,Chef Anton's Cajun Seasoning
14,3,21-7-2009,400.0,Alfreds Futterkiste,Grandma's Boysenberry Spread
14,17,14-3-2009,750.0,Gourmet Lanchonetes,Grandma's Boysenberry Spread
14,22,18-7-2009,300.0,Bottom-Dollar Markets,Grandma's Boysenberry Spread
14,39,6-12-2008,1750.0,Mère Paillarde,Grandma's Boysenberry Spread
14,40,10-9-2009,500.0,Bon app',Grandma's Boysenberry Spread
14,40,12-6-2009,1250.0,Bon app',Grandma's Boysenberry Spread
14,44,14-2-2008,120.0,Königlich Essen,Grandma's Boysenberry Spread
14,54,25-1-2008,600.0,Hungry Owl All-Night Grocers,Grandma's Boysenberry Spread
14,55,20-5-2009,150.0,Tradição Hipermercados,Grandma's Boysenberry Spread
14,62,14-7-2009,500.0,Lehmanns Marktstand,Grandma's Boysenberry Spread
14,75,10-9-2009,25.0,Rattlesnake Canyon Grocery,Grandma's Boysenberry Spread
14,77,5-8-2009,1000.0,Que Delícia,Grandma's Boysenberry Spread
15,29,30-1-2009,68.0,Antonio Moreno Taquería,Louisiana Hot Spiced Okra
15,31,13-9-2008,408.0,Eastern Connection,Louisiana Hot Spiced Okra
15,35,7-8-2008,136.0,La maison d'Asie,Louisiana Hot Spiced Okra
15,66,15-1-2008,408.0,Magazzini Alimentari Riuniti,Louisiana Hot Spiced Okra
15,74,17-4-2009,850.0,Folk och fä HB,Louisiana Hot Spiced Okra
15,75,10-9-2009,17.0,Rattlesnake Canyon Grocery,Louisiana Hot Spiced Okra
15,79,18-6-2008,816.0,Ernst Handel,Louisiana Hot Spiced Okra
15,84,19-7-2008,816.0,Suprêmes délices,Louisiana Hot Spiced Okra
16,1,25-7-2009,360.0,Spécialités du monde,Gudbrandsdalsost
16,8,11-9-2008,360.0,Maison Dewey,Gudbrandsdalsost
16,11,31-3-2009,108.0,North/South,Gudbrandsdalsost
16,31,2-4-2008,864.0,Eastern Connection,Gudbrandsdalsost
16,34,26-3-2009,1080.0,Piccolo und mehr,Gudbrandsdalsost
16,34,30-4-2008,1440.0,Piccolo und mehr,Gudbrandsdalsost
16,35,7-8-2008,288.0,La maison d'Asie,Gudbrandsdalsost
16,35,18-3-2008,518.4,La maison d'Asie,Gudbrandsdalsost
16,40,2-4-2009,900.0,Bon app',Gudbrandsdalsost
16,43,25-6-2009,1800.0,Save-a-lot Markets,Gudbrandsdalsost
16,48,26-1-2008,201.6,Du monde entier,Gudbrandsdalsost
16,49,24-1-2008,28.8,Ana Trujillo Emparedados y helados,Gudbrandsdalsost
16,53,26-12-2008,720.0,Die Wandernde Kuh,Gudbrandsdalsost
16,53,25-3-2008,576.0,Die Wandernde Kuh,Gudbrandsdalsost
16,60,9-1-2008,432.0,LILA-Supermercado,Gudbrandsdalsost
16,62,13-11-2008,720.0,Lehmanns Marktstand,Gudbrandsdalsost
16,67,24-7-2009,324.0,QUICK-Stop,Gudbrandsdalsost
16,68,3-4-2009,720.0,Split Rail Beer & Ale,Gudbrandsdalsost
16,69,10-2-2009,1080.0,White Clover Markets,Gudbrandsdalsost
16,71,28-2-2009,900.0,Frankenversand,Gudbrandsdalsost
16,72,4-11-2008,360.0,Wartian Herkku,Gudbrandsdalsost
16,76,14-5-2008,432.0,Ottilies Käseladen,Gudbrandsdalsost
16,79,17-1-2009,1620.0,Ernst Handel,Gudbrandsdalsost
16,79,14-11-2008,2340.0,Ernst Handel,Gudbrandsdalsost
16,80,1-5-2009,864.0,HILARIÓN-Abastos,Gudbrandsdalsost
16,80,3-10-2008,648.0,HILARIÓN-Abastos,Gudbrandsdalsost
16,80,2-5-2008,230.4,HILARIÓN-Abastos,Gudbrandsdalsost
16,82,22-8-2009,1296.0,Richter Supermarkt,Gudbrandsdalsost
16,82,27-5-2008,576.0,Richter Supermarkt,Gudbrandsdalsost
16,83,26-3-2009,1440.0,Chop-suey Chinese,Gudbrandsdalsost
16,85,19-8-2009,1080.0,Hanari Carnes,Gudbrandsdalsost
17,1,25-7-2009,375.0,Spécialités du monde,Carnarvon Tigers
17,6,3-3-2009,750.0,Let's Stop N Shop,Carnarvon Tigers
17,12,3-6-2009,625.0,Blauer See Delikatessen,Carnarvon Tigers
17,18,20-8-2009,500.0,Franchi SpA,Carnarvon Tigers
17,20,28-4-2009,1875.0,Folies gourmandes,Carnarvon Tigers
17,20,20-12-2008,3125.0,Folies gourmandes,Carnarvon Tigers
17,21,26-5-2009,1562.5,LINO-Delicateses,Carnarvon Tigers
17,23,25-12-2008,500.0,Santé Gourmet,Carnarvon Tigers
17,34,1-9-2009,2187.5,Piccolo und mehr,Carnarvon Tigers
17,39,22-2-2008,2000.0,Mère Paillarde,Carnarvon Tigers
17,40,16-7-2008,1500.0,Bon app',Carnarvon Tigers
17,40,5-3-2008,1000.0,Bon app',Carnarvon Tigers
17,50,18-8-2009,625.0,Lonesome Pine Restaurant,Carnarvon Tigers
17,51,19-1-2008,1250.0,Old World Delicatessen,Carnarvon Tigers
17,54,4-8-2009,500.0,Hungry Owl All-Night Grocers,Carnarvon Tigers
17,54,29-8-2008,1562.5,Hungry Owl All-Night Grocers,Carnarvon Tigers
17,59,16-6-2009,1562.5,Ricardo Adocicados,Carnarvon Tigers
17,65,4-1-2008,600.0,Tortuga Restaurante,Carnarvon Tigers
17,67,25-3-2009,1500.0,QUICK-Stop,Carnarvon Tigers
17,67,7-11-2008,2500.0,QUICK-Stop,Carnarvon Tigers
17,68,3-4-2009,1312.5,Split Rail Beer & Ale,Carnarvon Tigers
17,69,6-6-2009,1250.0,White Clover Markets,Carnarvon Tigers
17,73,17-10-2008,1125.0,Blondel père et fils,Carnarvon Tigers
17,79,19-4-2008,450.0,Ernst Handel,Carnarvon Tigers
17,81,14-7-2009,250.0,Wellington Importadora,Carnarvon Tigers
17,81,30-12-2008,250.0,Wellington Importadora,Carnarvon Tigers
17,85,31-12-2008,1250.0,Hanari Carnes,Carnarvon Tigers
18,3,17-2-2009,60.0,Alfreds Futterkiste,Aniseed Syrup
18,21,30-7-2008,160.0,LINO-Delicateses,Aniseed Syrup
18,21,13-5-2008,400.0,LINO-Delicateses,Aniseed Syrup
18,22,21-3-2009,200.0,Bottom-Dollar Markets,Aniseed Syrup
18,28,11-11-2008,140.0,Vaffeljernet,Aniseed Syrup
18,44,30-5-2009,490.0,Königlich Essen,Aniseed Syrup
18,57,1-1-2008,240.0,B's Beverages,Aniseed Syrup
18,63,4-6-2009,300.0,Berglunds snabbköp,Aniseed Syrup
18,67,23-9-2008,600.0,QUICK-Stop,Aniseed Syrup
18,75,10-9-2009,40.0,Rattlesnake Canyon Grocery,Aniseed Syrup
18,79,18-8-2009,250.0,Ernst Handel,Aniseed Syrup
18,79,9-4-2009,200.0,Ernst Handel,Aniseed Syrup
19,7,24-10-2008,199.5,Trail's Head Gourmet Provisioners,Wimmers gute Semmelknödel
19,9,30-1-2009,931.0,Great Lakes Food Market,Wimmers gute Semmelknödel
19,27,3-6-2008,186.2,Galería del gastrónomo,Wimmers gute Semmelknödel
19,34,1-9-2009,831.25,Piccolo und mehr,Wimmers gute Semmelknödel
19,35,21-5-2009,99.75,La maison d'Asie,Wimmers gute Semmelknödel
19,39,16-10-2008,598.5,Mère Paillarde,Wimmers gute Semmelknödel
19,39,14-6-2008,159.6,Mère Paillarde,Wimmers gute Semmelknödel
19,40,16-6-2009,665.0,Bon app',Wimmers gute Semmelknödel
19,40,16-7-2008,212.8,Bon app',Wimmers gute Semmelknödel
19,43,22-8-2009,665.0,Save-a-lot Markets,Wimmers gute Semmelknödel
19,43,3-4-2009,798.0,Save-a-lot Markets,Wimmers gute Semmelknödel
19,52,12-6-2009,498.75,Godos Cocina Típica,Wimmers gute Semmelknödel
19,52,17-12-2008,299.25,Godos Cocina Típica,Wimmers gute Semmelknödel
19,53,20-1-2009,498.75,Die Wandernde Kuh,Wimmers gute Semmelknödel
19,57,1-1-2008,239.4,B's Beverages,Wimmers gute Semmelknödel
19,62,8-10-2008,997.5,Lehmanns Marktstand,Wimmers gute Semmelknödel
19,62,7-3-2008,1330.0,Lehmanns Marktstand,Wimmers gute Semmelknödel
19,67,28-5-2009,1596.0,QUICK-Stop,Wimmers gute Semmelknödel
19,67,26-6-2008,931.0,QUICK-Stop,Wimmers gute Semmelknödel
19,71,5-6-2009,997.5,Frankenversand,Wimmers gute Semmelknödel
19,73,12-6-2008,798.0,Blondel père et fils,Wimmers gute Semmelknödel
19,75,10-9-2009,66.5,Rattlesnake Canyon Grocery,Wimmers gute Semmelknödel
19,75,24-7-2008,798.0,Rattlesnake Canyon Grocery,Wimmers gute Semmelknödel
19,79,9-9-2009,4322.5,Ernst Handel,Wimmers gute Semmelknödel
19,79,28-7-2009,133.0,Ernst Handel,Wimmers gute Semmelknödel
19,79,23-5-2009,997.5,Ernst Handel,Wimmers gute Semmelknödel
19,79,5-4-2008,931.0,Ernst Handel,Wimmers gute Semmelknödel
19,80,23-7-2009,266.0,HILARIÓN-Abastos,Wimmers gute Semmelknödel
19,80,1-5-2009,1163.75,HILARIÓN-Abastos,Wimmers gute Semmelknödel
19,83,9-4-2008,798.0,Chop-suey Chinese,Wimmers gute Semmelknödel
20,8,11-9-2008,250.0,Maison Dewey,Scottish Longbreads
20,10,3-9-2008,75.0,Cactus Comidas para llevar,Scottish Longbreads
20,20,28-4-2009,225.0,Folies gourmandes,Scottish Longbreads
